±â¿Â,½Àµµ,Ç³Çâ,Ç³¼Ó,»êºÒ
3.7,17,230,2,1
3.4,45,290,7.1,1
0.9,60,0,0,1
11.2,39,270,3.6,1
14.5,18,270,2.9,1
4.2,65,290,2.2,1
28.1,16,230,2.8,1
18.8,35,290,3.7,1
15.2,31,160,1.2,1
17.7,25,290,3.8,1
18.7,37,90,1.6,1
20.4,33,290,5.3,1
29.5,26,340,1.2,1
15.5,16,230,2.9,1
24.3,32,110,3.4,1
18.4,28,250,4.3,2
11.7,19,270,4.6,2
29.5,26,250,2.5,2
3.3,20,270,4.1,2
12.2,81,140,1.1,2
24.8,23,160,3.3,2
-0.3,14,320,4.2,2
12.3,41,90,3,2
17.9,11,110,6.3,2
11.9,27,290,2.4,2
9.5,36,160,1.8,2
10.5,15,290,5.8,2
9.8,62,140,1.1,2
17.8,39,290,2.8,2
14.2,26,320,3.4,2
10.4,37,270,1.7,2
7.3,27,270,4.9,2
14,30,290,2.7,2
19,37,200,2.3,2
15.2,20,320,2.1,2
-2.3,36,270,5,2
25.8,27,270,3.6,2
29.1,36,270,2.8,2
11.5,38,140,1.2,2
11.5,44,110,4.5,2
11.6,78,0,0.3,2
8.6,27,270,5.1,2
6.1,22,270,3.5,2
18.1,23,320,2.1,2
5.5,27,270,4.4,2
22.7,26,270,1.5,2
17.3,29,320,1.2,2
1,27,290,4.8,2
6.8,33,290,4.3,2
-3.7,74,320,0.6,2
24.6,54,140,2.4,2
21.6,18,290,3.5,2
20.3,44,90,0.9,2
4.2,41,270,2.2,2
12.3,39,290,4.3,2
23.8,43,110,4.1,2
9.1,56,140,1.4,2
19.4,27,230,1.5,2
24.5,46,290,3.9,2
18.8,15,140,4.5,2
20.1,22,290,5.6,2
15.7,25,270,3.4,2
2.9,18,270,2.2,2
10.3,37,290,6.9,2
6,67,360,0.6,2
24.4,49,140,4.3,2
6.8,59,270,3.7,2
10.3,57,270,3.2,2
6.9,26,250,5.6,2
22.2,35,270,1.6,2
12.8,16,110,2.7,2
10,14,290,5.8,2
3.8,68,140,1.4,2
13.4,52,290,3.8,2
1.2,39,270,4.4,2
9,38,270,1.8,2
22,31,290,2,2
10.2,36,270,1.5,2
6,64,200,0.5,2
2.4,24,270,3.6,2
6.9,41,270,1.8,2
16.4,68,110,3.5,2
26.5,77,110,1.2,2
24.7,49,290,2.1,2
27.9,17,290,4,2
14,14,290,3.1,2
14.8,22,110,2.4,2
6.6,33,290,5.1,2
3.9,61,270,0.9,2
2.7,32,320,0.6,2
28.2,29,290,2.8,2
26.8,18,270,3.1,2
20.6,30,250,1.1,2
11.9,32,160,3.2,2
15.1,22,270,2.3,2
9,24,230,1.7,2
25.3,14,270,4.1,2
3.5,16,340,2.2,2
10.6,40,270,4.3,2
-0.4,54,140,1.1,2
9.3,47,270,3.5,2
17.8,25,250,5.9,2
2.1,31,230,1.2,2
27.5,19,270,3.5,2
16.8,51,250,3,2
11.4,29,250,2.3,2
15.6,26,290,2.6,2
17.5,29,290,3.6,2
21.8,56,270,2,2
28.6,35,270,2,2
13.4,19,270,1.5,2
18.4,28,250,4.3,2
12.7,38,290,4,2
16.2,17,270,2.4,3
18.4,28,250,4.3,3
12.7,38,290,4,3
16.2,17,270,2.4,3
18.4,28,250,4.3,3
11.7,19,270,4.6,3
29.5,26,250,2.5,3
3.3,20,270,4.1,3
12.2,81,140,1.1,3
24.8,23,160,3.3,3
-0.3,14,320,4.2,3
12.3,41,90,3,3
17.9,11,110,6.3,3
11.9,27,290,2.4,3
9.5,36,160,1.8,3
10.5,15,290,5.8,3
9.8,62,140,1.1,3
17.8,39,290,2.8,3
14.2,26,320,3.4,3
10.4,37,270,1.7,3
7.3,27,270,4.9,3
14,30,290,2.7,3
19,37,200,2.3,3
15.2,20,320,2.1,3
-2.3,36,270,5,3
25.8,27,270,3.6,3
29.1,36,270,2.8,3
11.5,38,140,1.2,3
11.5,44,110,4.5,3
11.6,78,0,0.3,3
8.6,27,270,5.1,3
6.1,22,270,3.5,3
18.1,23,320,2.1,3
5.5,27,270,4.4,3
22.7,26,270,1.5,3
17.3,29,320,1.2,3
1,27,290,4.8,3
6.8,33,290,4.3,3
-3.7,74,320,0.6,3
24.6,54,140,2.4,3
21.6,18,290,3.5,3
20.3,44,90,0.9,3
4.2,41,270,2.2,3
12.3,39,290,4.3,3
23.8,43,110,4.1,3
9.1,56,140,1.4,3
19.4,27,230,1.5,3
24.5,46,290,3.9,3
18.8,15,140,4.5,3
20.1,22,290,5.6,3
15.7,25,270,3.4,3
2.9,18,270,2.2,3
10.3,37,290,6.9,3
6,67,360,0.6,3
24.4,49,140,4.3,3
6.8,59,270,3.7,3
10.3,57,270,3.2,3
6.9,26,250,5.6,3
22.2,35,270,1.6,3
12.8,16,110,2.7,3
10,14,290,5.8,3
3.8,68,140,1.4,3
13.4,52,290,3.8,3
1.2,39,270,4.4,3
9,38,270,1.8,3
22,31,290,2,3
10.2,36,270,1.5,3
6,64,200,0.5,3
2.4,24,270,3.6,3
6.9,41,270,1.8,3
16.4,68,110,3.5,3
26.5,77,110,1.2,3
24.7,49,290,2.1,3
27.9,17,290,4,3
14,14,290,3.1,3
14.8,22,110,2.4,3
6.6,33,290,5.1,3
3.9,61,270,0.9,3
2.7,32,320,0.6,3
28.2,29,290,2.8,3
26.8,18,270,3.1,3
20.6,30,250,1.1,3
11.9,32,160,3.2,3
15.1,22,270,2.3,3
9,24,230,1.7,3
25.3,14,270,4.1,3
3.5,16,340,2.2,3
10.6,40,270,4.3,3
-0.4,54,140,1.1,3
9.3,47,270,3.5,3
17.8,25,250,5.9,3
2.1,31,230,1.2,3
27.5,19,270,3.5,3
16.8,51,250,3,3
11.4,29,250,2.3,3
15.6,26,290,2.6,3
17.5,29,290,3.6,3
21.8,56,270,2,3
28.6,35,270,2,4
13.4,19,270,1.5,4
23.1,26,140,2.4,4
12.7,38,290,4,4
8,25,270,5.3,4
32.1,33,290,2.2,4
0.4,16,270,4.9,4
12.5,94,90,1.3,4
25,14,70,4.6,4
5.1,30,250,2.2,4
16,19,140,4.6,4
19.4,46,230,1.8,4
6.9,29,290,2.7,4
8.2,32,180,1.4,4
11.4,22,250,3.3,4
8.1,61,110,3.4,4
18.2,32,290,2.1,4
14,27,290,5.9,4
10.7,50,270,3.7,4
3.4,45,290,7.1,4
14.2,28,230,2,4
13.3,62,290,3.6,4
9.8,28,250,2.8,4
-4.5,30,270,4.5,4
23.6,69,270,3.2,4
28.4,23,290,2.8,4
9.1,53,270,0.5,4
16.8,20,110,3.5,4
10.5,81,0,0.3,4
12.6,40,180,1.8,4
8,39,270,3.7,4
12,43,320,3.2,4
4.7,21,290,5.3,4
21.4,22,360,1,4
14.2,26,320,3.4,4
11.7,31,270,2.8,4
8.3,29,290,4.9,4
-5.8,68,340,0.8,4
20.8,44,90,2,4
17.5,14,250,3.2,4
19.4,18,270,4,4
4.8,36,290,3.1,4
3.9,23,290,5.1,4
29.2,33,270,2.8,4
7.6,59,140,1.2,4
17.5,49,230,2.2,4
27,35,250,3.5,4
15,50,270,1.5,4
12.5,18,250,4.7,4
8.3,33,290,3.5,4
2.6,14,140,0.9,4
13.6,19,290,7.2,4
6,61,230,1,4
24.9,39,160,1.7,4
10.8,56,320,1.6,4
7.4,72,270,0.7,4
2.5,26,290,6.8,4
26,45,90,3.5,4
8.8,23,270,2.3,4
11.7,22,230,1.8,4
-0.4,77,140,1.4,4
18.8,18,270,3.8,4
5.2,46,320,3.6,4
13.2,70,270,4.8,4
22.8,28,290,2.1,4
12.8,24,140,1.2,4
6.8,39,290,1.1,4
1,17,250,4,4
1.4,24,270,4.5,4
20.2,59,0,0,4
25.9,79,270,1.7,4
24.1,48,250,1.4,4
26.4,24,270,4.5,4
9.7,20,320,1.3,4
12,26,230,2.6,4
7,26,290,3.2,4
0.1,83,180,0.7,4
1.1,15,250,1,4
22.9,33,90,2.7,4
27.1,23,290,4,4
19.9,27,160,2.4,4
9.4,47,110,5,4
12.9,22,290,2.3,4
9.9,46,110,1.7,4
21.4,21,290,4,4
1.4,19,290,5.3,4
9.3,39,270,2.9,4
-3.2,47,50,0.6,4
10.9,64,160,0.6,4
11.8,29,270,2.6,4
1.6,27,270,2.2,4
25.4,27,180,2.5,4
15.9,48,160,1.4,4
11.1,46,290,1.8,4
16,24,290,4.2,4
21.4,43,270,2.9,4
24.3,35,20,2,4
26.7,32,270,2.2,4
13,29,270,4.1,5
25.2,25,290,3.3,5
16.2,17,270,2.4,5
5.9,21,290,6.4,5
28.7,21,290,3,5
-0.3,14,320,4.2,5
11.7,84,90,0.9,5
16.6,63,50,2.4,5
6.9,25,270,2,5
15.7,19,110,4.7,5
18.8,18,290,4.2,5
5.9,17,250,3.6,5
6.8,28,290,3.8,5
8.6,18,290,6.1,5
14.3,36,290,3.3,5
15.4,15,290,4.1,5
11.3,38,290,3.8,5
9.5,50,270,2.7,5
10.6,40,270,4.3,5
12,31,270,1.8,5
14.9,38,270,1.4,5
9.2,32,270,4.3,5
3.2,33,270,4.7,5
28.6,48,230,4.4,5
26.1,38,70,3.8,5
10.3,64,110,3.6,5
16.6,17,140,5.2,5
13.2,61,140,1.1,5
8.4,81,50,0.8,5
4.3,20,250,3.3,5
8,35,290,3.8,5
7.5,20,250,5.2,5
19.3,24,290,2.2,5
14,27,290,5.9,5
9.8,22,270,2.4,5
5,53,290,6.8,5
-5.8,87,290,1.2,5
20.4,69,340,0.4,5
14.7,39,270,1.4,5
14.6,20,270,2.5,5
2.9,22,270,2.8,5
-1.2,40,270,6.6,5
25.5,35,320,1.6,5
9.5,33,270,1,5
8.2,88,110,1,5
27,45,230,1.4,5
15.7,43,290,2.5,5
11.9,25,290,3.5,5
5,75,290,2.9,5
4.3,41,320,4.5,5
16.4,25,290,8.7,5
6.2,52,140,1.3,5
24,43,200,0.9,5
4.7,84,0,0.4,5
10.8,56,110,4.6,5
0.1,34,270,6.5,5
23.4,46,180,1.5,5
7.5,26,140,1.9,5
8.6,19,290,6.2,5
-0.3,71,140,0.9,5
18.2,20,340,2,5
3.9,46,180,3,5
17.7,39,0,0.3,5
18.9,18,270,1.9,5
10.2,39,230,2.4,5
5.1,62,250,0.9,5
-2.1,26,270,4.5,5
-0.8,38,290,6.1,5
19.5,59,110,4.2,5
25.6,77,250,1.9,5
24.3,41,200,1.2,5
22.6,26,270,4.1,5
10.1,20,290,3.9,5
10,29,230,1.6,5
5.7,13,290,3.5,5
0.5,88,180,0.6,5
-0.8,15,290,4.4,5
27.2,26,270,3.4,5
25.4,34,270,2.1,5
22.1,23,290,3.8,5
18.7,14,270,4.3,5
9.2,22,270,3,5
10.1,24,270,1.6,5
21.8,47,90,1.1,5
2.2,16,290,4.6,5
6.2,34,270,3,5
-5.5,59,290,1.6,5
8.1,72,290,1,5
13.2,31,270,5.6,5
0.5,25,270,4.2,5
24.9,65,270,3.4,5
14.3,42,250,2.5,5
13.2,32,270,2.2,5
14.2,25,270,5.8,5
19,55,50,3.8,5
17.6,77,340,1.4,5
23.6,46,250,2.3,5
16.3,19,250,3.8,5
24.8,17,270,4.5,6
14.1,23,230,2.7,6
8.2,21,270,6.1,6
26.4,22,270,3.8,6
5.1,30,250,2.2,6
12.1,77,140,1.6,6
21.8,35,270,2.7,6
1.3,38,290,4.5,6
18.1,11,140,5.6,6
13.9,23,270,2.9,6
4.1,28,270,5.9,6
4.3,23,290,4.4,6
5,29,290,7.8,6
9.8,63,110,2.2,6
11.6,16,290,5,6
11.5,52,290,4.2,6
6.4,78,250,0.9,6
9.3,39,270,2.9,6
12.9,44,290,1.7,6
15.3,28,290,4.2,6
9.3,73,290,3,6
4.5,69,290,5.5,6
27.6,42,230,2.6,6
28.6,35,320,2,6
10.1,55,70,2,6
17.9,11,110,6.3,6
15.1,48,340,1.5,6
16.7,18,270,4.9,6
4.5,26,290,2.8,6
9,29,290,4,6
7.5,31,290,4.4,6
17.2,26,250,3.7,6
11.3,38,290,3.8,6
8.8,20,270,5.4,6
13.2,29,270,3.3,6
-4.7,80,200,0.6,6
18.3,77,230,1.7,6
14.6,12,290,2.6,6
11.5,30,290,1,6
1,24,290,3,6
-1,18,290,4.8,6
17.9,75,70,1.4,6
11.4,37,160,2.9,6
21,21,290,3.6,6
18.9,61,230,1.7,6
15.7,25,110,5.6,6
11.1,30,320,2.9,6
12.2,39,110,2.9,6
4.4,28,290,3.1,6
6.2,72,290,6.5,6
6.2,35,0,0.4,6
22.4,61,110,3.2,6
6.7,74,90,2,6
12.5,98,270,1.3,6
3.9,92,270,3.3,6
23.7,57,230,1.4,6
10.7,55,290,4.8,6
4.4,27,290,9.3,6
6.8,81,160,0.9,6
13.8,41,250,1.8,6
3.6,26,320,3.4,6
18.2,23,270,3.2,6
12.9,75,160,1.1,6
8.1,33,160,2.8,6
2,97,270,0.9,6
-2.2,36,290,4.8,6
7.8,56,320,1.3,6
19.2,53,0,0.4,6
26.4,82,250,1.2,6
17,69,270,1.3,6
25.6,36,270,2.5,6
7.8,16,270,5.3,6
7,18,290,1.3,6
5.6,16,290,6.1,6
-0.2,65,230,0.5,6
5.7,24,290,5.7,6
24.4,22,270,4.7,6
28.8,25,290,2.9,6
24,24,230,1.8,6
17.1,21,320,2,6
8.4,28,270,5.9,6
6.8,34,230,1.6,6
30.5,28,290,1.3,6
3.4,19,270,3.9,6
0.8,36,290,6.7,6
-3.6,52,290,4.4,6
10.1,55,290,3.4,6
16,32,20,1.4,6
-1.1,31,290,5.3,6
29.3,47,270,2.8,6
15.8,27,290,6.1,6
10.3,57,270,3.2,6
10.9,28,270,5.2,6
15.9,84,200,0.5,6
20.9,70,250,1.2,6
26.1,63,230,1.9,6
13.9,35,160,3.3,6
21.7,21,270,2.2,6
8.8,37,290,3.1,7
7.9,26,270,5.9,7
23.6,26,290,4,7
6.9,25,270,2,7
11.9,89,160,1.3,7
24.9,22,180,1,7
2.8,33,320,1.5,7
20.3,44,90,0.9,7
11.3,33,230,2,7
12.1,25,270,3.4,7
3.6,48,290,4.7,7
8.6,20,270,1.1,7
11.7,32,0,0.4,7
7.9,24,290,6.6,7
9,56,270,2.4,7
7.2,68,250,1.8,7
6.2,34,270,3,7
8.6,64,110,3,7
14.8,38,270,4.8,7
12.5,54,140,1.1,7
4.2,90,50,1.6,7
30.8,30,270,8.1,7
29.1,42,290,1.7,7
14.5,45,320,0.7,7
19.4,46,230,1.8,7
9.6,81,140,1.2,7
13.1,16,270,1.9,7
3.8,32,270,3.5,7
8.2,43,270,3,7
8,38,290,2.6,7
15.8,35,230,1.7,7
11.5,52,290,4.2,7
6.2,22,290,4.6,7
12.9,25,250,3.8,7
-4.3,61,290,0.4,7
16.6,76,140,2.1,7
16.1,13,250,4.9,7
13.7,26,270,6.4,7
-1.2,15,290,3.5,7
6.1,28,290,2.9,7
19.8,55,140,4.3,7
14.2,27,270,3.4,7
17.6,16,180,1.4,7
25,37,250,2.3,7
24,16,270,2.8,7
21,16,320,1.3,7
19,24,290,3.3,7
0.5,36,270,3.2,7
18.5,14,200,2.6,7
2.6,60,290,1.3,7
22.8,55,110,4.1,7
7.8,70,290,2,7
11.6,64,110,2.7,7
19.1,48,270,3.8,7
22,67,250,2.6,7
19.1,23,290,2.5,7
8.4,18,290,3.1,7
-0.4,76,0,0.1,7
8.6,76,270,0.9,7
1.6,41,270,2.4,7
13.8,23,270,3.3,7
10.1,94,140,2.6,7
10.4,42,270,1.5,7
5.8,68,270,1.5,7
1.7,40,290,4.9,7
7.4,42,270,4.6,7
21.3,34,110,0.9,7
25.5,85,290,0.8,7
14.4,81,140,1.9,7
20.5,45,250,1.8,7
5.1,36,270,7.3,7
3.4,20,290,7.9,7
7.1,25,290,4.5,7
-0.9,65,290,1.5,7
14.6,54,270,4.4,7
21.8,24,290,2.7,7
27.7,24,110,3.2,7
21.9,29,290,1.5,7
14.3,26,290,2.9,7
10.7,60,110,3.8,7
11.1,55,270,2.4,7
28.9,30,270,1.7,7
-0.2,15,290,4.1,7
-0.9,39,270,7.1,7
-1.8,55,320,1.4,7
5.4,77,270,5.4,7
16.5,21,290,1.4,7
5.3,64,290,6.3,7
26.6,49,180,1.8,7
13,40,270,5.6,7
7.4,72,270,0.7,7
18.4,32,270,5.1,7
17.8,75,250,0.6,7
21,54,230,1.1,7
27.2,53,290,2.1,7
16.1,14,360,1.2,7
19.4,22,290,5.1,7
